"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","0.33uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C2","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C3","0.1uF","~","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1",""
"D1","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","1",""
"D2","LED","~","LED_THT:LED_D5.0mm","1",""
"Q1,Q2,Q3","2N3904","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","Package_TO_SOT_THT:TO-92_Wide","3",""
"R1","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R2,R3","220","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R4,R6,R7,R8","4k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"R5","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","L78L05_TO92","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf","Package_TO_SOT_THT:TO-92_Wide","1",""
"U2","6N138","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U3","ATtiny85-20PU","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","Package_DIP:DIP-8_W7.62mm","1",""
